system:index,Code Departamento,Code Provincia,Date (YMD),Departamento,Provincia,codeRio,distanciaRio,elevacion_m,estacion,fecha0,fechas,hayRioCercano,idx,lat,lon,pendiente_grados,precipitation_sum,runoff_sum,temperature_2m,tipoDeSuelo,total_evaporation_sum,volumetric_soil_water_layer_1,.geo
1733,02012,2,13/7/1994,Comuna 12,Capital Federal,54-54,3.13,20,invierno,1994-07-11,"[1994-07-11, 1994-07-12, 1994-07-13, 1994-07-14, 1994-07-15, 1994-07-16, 1994-07-17]",true,1733,-34.56062514,-58.47494475,0.93,"[0, 0, 0, 0, 0, 0, 0]",0.001122400164604187,280.0245424906413,Miscelaneas,-9.336899966001511E-4,0.3609841664632161,"{""type"":""Point"",""coordinates"":[-58.474944750000006,-34.560625140000006]}"
1734,02012,2,5/6/2003,Comuna 12,Capital Federal,54-54,3.13,20,otoño,2003-06-02,"[2003-06-02, 2003-06-03, 2003-06-04, 2003-06-05, 2003-06-06, 2003-06-07, 2003-06-08]",true,1734,-34.56062514,-58.47494475,0.93,"[6.3, 0, 0, 0, 0, 0, 0]",6.73145055770874E-4,287.62856737772626,Miscelaneas,-0.002129041589796543,0.390777587890625,"{""type"":""Point"",""coordinates"":[-58.474944750000006,-34.560625140000006]}"
1735,02014,2,12/12/2000,Comuna 14,Capital Federal,85-85,2.68,24,primavera,2000-12-11,"[2000-12-11, 2000-12-12, 2000-12-13, 2000-12-14, 2000-12-15, 2000-12-16, 2000-12-17]",true,1735,-34.57389998,-58.42243645,5.28,"[3.8, 0, 16.7, 1.2, 1.2, 0.3, 0]",6.753653287887573E-4,298.24752616882324,Miscelaneas,-0.003168500028550625,0.1685784657796224,"{""type"":""Point"",""coordinates"":[-58.42243645,-34.57389997999999]}"
1736,02001,2,18/7/1997,Comuna 1,Capital Federal,8891-2706,1.05,28,invierno,1997-07-14,"[1997-07-14, 1997-07-15, 1997-07-16, 1997-07-17, 1997-07-18, 1997-07-19, 1997-07-20]",true,1736,-34.62504786,-58.38438723,3.7,"[0, 0, 0, 0, 0, 0, 0]",9.168684482574463E-5,284.37005043029785,Miscelaneas,-0.0015910612419247627,0.4541435241699219,"{""type"":""Point"",""coordinates"":[-58.38438723000001,-34.62504786000001]}"
1737,06868,6,28/9/1999,Villa Gesell,Buenos Aires,3346-1741,61.78,5,primavera,1999-09-27,"[1999-09-27, 1999-09-28, 1999-09-29, 1999-09-30, 1999-10-01, 1999-10-02, 1999-10-03]",false,1737,-37.33667316,-57.03250147,3.62,"[0, 10.2, 0, 0, 0, 2.7, 1.2]",1.4983117580413818E-4,284.86524709065753,Entisoles,-0.0033779609948396683,0.18967056274414062,"{""type"":""Point"",""coordinates"":[-57.03250147,-37.33667316]}"
1738,06644,6,26/7/2013,Pinamar,Buenos Aires,3346-1741,44.9,21,invierno,2013-07-22,"[2013-07-22, 2013-07-23, 2013-07-24, 2013-07-25, 2013-07-26, 2013-07-27, 2013-07-28]",false,1738,-37.16415938,-56.90279144,4.46,"[4.5, 0, 0, 0, 0, 0.5, 0]",,,Entisoles,,,"{""type"":""Point"",""coordinates"":[-56.90279144,-37.16415938]}"
1739,14014,14,18/4/1993,Capital,Cordoba,37574-7384,24.04,426,otoño,1993-04-12,"[1993-04-12, 1993-04-13, 1993-04-14, 1993-04-15, 1993-04-16, 1993-04-17, 1993-04-18]",false,1739,-31.47878838,-64.14509583,2.86,"[0, 0, 1.2, 0, 0, 0, 2.9]",1.8616020679473877E-4,291.593058904012,Miscelaneas,-0.0021122191101312637,0.30335362752278644,"{""type"":""Point"",""coordinates"":[-64.14509583,-31.478788380000008]}"
1740,06357,6,13/11/1996,General Pueyrredon,Buenos Aires,3347-1742,17.47,21,primavera,1996-11-11,"[1996-11-11, 1996-11-12, 1996-11-13, 1996-11-14, 1996-11-15, 1996-11-16, 1996-11-17]",false,1740,-37.80766254,-57.62989086,5.55,"[0, 0.1, 2.3, 0, 9.3, 13.2, 0.1]",1.8477439880371094E-6,290.4669329325358,Molisoles,-0.005151716992259026,0.4499155680338542,"{""type"":""Point"",""coordinates"":[-57.62989086,-37.80766254000001]}"
1741,06154,6,4/6/1991,Carlos Tejedor,Buenos Aires,36986-7281,46.48,105,otoño,1991-06-03,"[1991-06-03, 1991-06-04, 1991-06-05, 1991-06-06, 1991-06-07, 1991-06-08, 1991-06-09]",false,1741,-35.26376343,-62.67741013,1.85,"[0, 0, 0, 0, 0, 0, 0]",9.909272193908691E-6,282.6195697784424,Molisoles,-7.945280522108078E-4,0.4785238901774089,"{""type"":""Point"",""coordinates"":[-62.677410130000005,-35.26376343]}"
1742,10070,10,3/2/2012,La Paz,Catamarca,34147-6631,5.97,439,verano,2012-01-30,"[2012-01-30, 2012-01-31, 2012-02-01, 2012-02-02, 2012-02-03, 2012-02-04, 2012-02-05]",true,1742,-28.71805191,-65.2964859,3.3,"[1.2, 18.7, 0, 1.7, 0.6, 0, 0.2]",2.5033950805664062E-6,304.0413455963135,Roca,-0.0015790406614542007,0.1369775136311849,"{""type"":""Point"",""coordinates"":[-65.2964859,-28.71805191]}"
1743,10056,10,26/10/2011,El Alto,Catamarca,34147-6631,17.54,444,primavera,2011-10-24,"[2011-10-24, 2011-10-25, 2011-10-26, 2011-10-27, 2011-10-28, 2011-10-29, 2011-10-30]",false,1743,-28.37478,-65.15865,1.05,"[0, 0, 0, 0, 0, 0.6, 0]",5.289912223815918E-6,292.3880208333333,Roca,-0.002488214522600174,0.29526392618815106,"{""type"":""Point"",""coordinates"":[-65.15865,-28.37478000000001]}"
1744,10105,10,23/5/2011,Tinogasta,Catamarca,6718-2196,43.56,2589,otoño,2011-05-23,"[2011-05-23, 2011-05-24, 2011-05-25, 2011-05-26, 2011-05-27, 2011-05-28, 2011-05-29]",false,1744,-27.09210847,-67.81896152,26.54,"[0, 0, 0, 0.4, 0, 0, 0]",2.428889274597168E-6,284.7111129760742,Roca,-5.046147853136063E-4,0.20381927490234375,"{""type"":""Point"",""coordinates"":[-67.81896152,-27.092108470000003]}"
1745,02014,2,6/7/2001,Comuna 14,Capital Federal,85-85,2.68,24,invierno,2001-07-02,"[2001-07-02, 2001-07-03, 2001-07-04, 2001-07-05, 2001-07-06, 2001-07-07, 2001-07-08]",true,1745,-34.57389998,-58.42243645,5.28,"[0, 0.5, 2.5, 0, 0, 4.8, 0]",2.989470958709717E-4,282.68283526102704,Miscelaneas,-0.0015798583626747131,0.37086741129557294,"{""type"":""Point"",""coordinates"":[-58.42243645,-34.57389997999999]}"
1746,02004,2,17/10/1996,Comuna 4,Capital Federal,8891-2706,2.09,10,primavera,1996-10-14,"[1996-10-14, 1996-10-15, 1996-10-16, 1996-10-17, 1996-10-18, 1996-10-19, 1996-10-20]",true,1746,-34.64641355,-58.38427103,1.46,"[0.8, 0, 0.3, 17.3, 1.8, 11.6, 0]",2.0122528076171875E-4,291.0083637237549,Miscelaneas,-0.003096945583820343,0.4057458241780599,"{""type"":""Point"",""coordinates"":[-58.384271029999994,-34.64641355]}"
1747,30015,30,15/10/2010,Concordia,Entre Rios,6557-2063,4.51,37,primavera,2010-10-11,"[2010-10-11, 2010-10-12, 2010-10-13, 2010-10-14, 2010-10-15, 2010-10-16, 2010-10-17]",true,1747,-31.35230446,-58.05355072,6.42,"[0, 0, 1.6, 8.1, 0.1, 0.1, 0]",0.0012897849082946777,290.0711421966553,Vertisoles,-0.003887806087732315,0.10559145609537761,"{""type"":""Point"",""coordinates"":[-58.05355072,-31.352304459999996]}"
1748,42035,42,15/12/2012,Conhelo,La Pampa,32779-6443,34.37,213,primavera,2012-12-10,"[2012-12-10, 2012-12-11, 2012-12-12, 2012-12-13, 2012-12-14, 2012-12-15, 2012-12-16]",false,1748,-35.96125794,-64.4406662,1.85,"[0.3, 0, 0, 0, 0, 0, 0.3]",2.428889274597168E-6,297.12256240844727,Molisoles,-0.003454020246863365,0.3144327799479167,"{""type"":""Point"",""coordinates"":[-64.4406662,-35.96125794]}"
1749,02013,2,14/12/2000,Comuna 13,Capital Federal,54-54,3.99,10,primavera,2000-12-11,"[2000-12-11, 2000-12-12, 2000-12-13, 2000-12-14, 2000-12-15, 2000-12-16, 2000-12-17]",true,1749,-34.55488152,-58.4502891,3.85,"[3.8, 0, 16.7, 1.2, 1.2, 0.3, 0]",6.753653287887573E-4,298.24752616882324,Miscelaneas,-0.003168500028550625,0.1685784657796224,"{""type"":""Point"",""coordinates"":[-58.4502891,-34.55488152]}"
1750,02004,2,28/4/2004,Comuna 4,Capital Federal,8891-2706,2.09,10,otoño,2004-04-26,"[2004-04-26, 2004-04-27, 2004-04-28, 2004-04-29, 2004-04-30, 2004-05-01, 2004-05-02]",true,1750,-34.64641355,-58.38427103,1.46,"[0, 0, 0.4, 33.6, 0, 0, 1.1]",1.6741454601287842E-4,287.4461555480957,Miscelaneas,-0.002415507100522518,0.38788731892903644,"{""type"":""Point"",""coordinates"":[-58.384271029999994,-34.64641355]}"
1751,02001,2,20/10/1995,Comuna 1,Capital Federal,8891-2706,1.05,28,primavera,1995-10-16,"[1995-10-16, 1995-10-17, 1995-10-18, 1995-10-19, 1995-10-20, 1995-10-21, 1995-10-22]",true,1751,-34.62504786,-58.38438723,3.7,"[0, 0, 0.2, 0, 0.7, 0, 0]",1.3580918312072754E-4,288.00134150187176,Miscelaneas,-0.004444297403097153,0.3106772104899089,"{""type"":""Point"",""coordinates"":[-58.38438723000001,-34.62504786000001]}"
1752,06840,6,26/9/2003,Tres de Febrero,Buenos Aires,36837-7237,6.8,27,primavera,2003-09-22,"[2003-09-22, 2003-09-23, 2003-09-24, 2003-09-25, 2003-09-26, 2003-09-27, 2003-09-28]",true,1752,-34.60887295,-58.56366446,1.85,"[0, 30.9, 0, 0, 0, 8.4, 0]",4.2819976806640625E-4,291.98498280843097,Miscelaneas,-0.002886056900024414,0.41720835367838544,"{""type"":""Point"",""coordinates"":[-58.563664460000005,-34.60887294999999]}"
1753,06805,6,22/2/2005,Tigre,Buenos Aires,34847-6831,1.44,4,verano,2005-02-21,"[2005-02-21, 2005-02-22, 2005-02-23, 2005-02-24, 2005-02-25, 2005-02-26, 2005-02-27]",true,1753,-34.3277116,-58.608687,3.84,"[2, 0, 0, 0, 15.5, 0, 0]",4.890561103820801E-5,298.09851392110187,Rio,-0.003939901478588581,0.2972551981608073,"{""type"":""Point"",""coordinates"":[-58.608687,-34.3277116]}"
1754,06749,6,7/6/2005,San Fernando,Buenos Aires,34847-6831,5.62,5,otoño,2005-06-06,"[2005-06-06, 2005-06-07, 2005-06-08, 2005-06-09, 2005-06-10, 2005-06-11, 2005-06-12]",true,1754,-34.2256455,-58.5931568,3.84,"[9.6, 1.2, 8.2, 1.9, 12.8, 0, 0]",0.0013879239559173584,289.46399688720703,Rio,-3.7151481956243515E-4,0.5857340494791666,"{""type"":""Point"",""coordinates"":[-58.5931568,-34.2256455]}"
1755,06658,6,2/1/2011,Quilmes,Buenos Aires,35407-6950,4.25,3,verano,2010-12-27,"[2010-12-27, 2010-12-28, 2010-12-29, 2010-12-30, 2010-12-31, 2011-01-01, 2011-01-02]",true,1755,-34.70037841,-58.27664278,2.17,"[0, 0, 0, 0, 0, 0, 0.2]",,,Miscelaneas,,,"{""type"":""Point"",""coordinates"":[-58.276642779999996,-34.70037841]}"
1756,06490,6,24/6/1990,Lomas de Zamora,Buenos Aires,35405-6949,5.53,9,otoño,1990-06-18,"[1990-06-18, 1990-06-19, 1990-06-20, 1990-06-21, 1990-06-22, 1990-06-23, 1990-06-24]",true,1756,-34.73790272,-58.44067537,3,"[0, 0, 0, 0, 0, 0, 0]",3.140270709991455E-4,285.7550741831462,Miscelaneas,-0.0012782663106918335,0.3776893615722656,"{""type"":""Point"",""coordinates"":[-58.44067537000001,-34.73790272]}"
1757,06434,6,13/7/2014,Lanus,Buenos Aires,8891-2706,4.6,5,invierno,2014-07-07,"[2014-07-07, 2014-07-08, 2014-07-09, 2014-07-10, 2014-07-11, 2014-07-12, 2014-07-13]",true,1757,-34.69095715,-58.38386285,4.6,"[0, 0, 0, 0, 0, 18.9, 1]",4.29496169090271E-4,282.7705160776774,Miscelaneas,-0.001664692535996437,0.47913360595703125,"{""type"":""Point"",""coordinates"":[-58.38386285000001,-34.69095715000001]}"
1758,06441,6,11/2/2007,La Plata,Buenos Aires,3314-1708,23.31,26,verano,2007-02-05,"[2007-02-05, 2007-02-06, 2007-02-07, 2007-02-08, 2007-02-09, 2007-02-10, 2007-02-11]",false,1758,-35.03880607,-58.05930616,0.93,"[6.7, 3.6, 0, 0.2, 0, 1, 1.3]",4.589557647705078E-5,297.53085009257,Complejo indiferenci,-0.002806618809700012,0.3237597147623698,"{""type"":""Point"",""coordinates"":[-58.05930616,-35.03880607000001]}"
1759,06427,6,27/3/2009,La Matanza,Buenos Aires,33486-6512,4.98,8,otoño,2009-03-23,"[2009-03-23, 2009-03-24, 2009-03-25, 2009-03-26, 2009-03-27, 2009-03-28, 2009-03-29]",true,1759,-34.71417289,-58.50890438,7.28,"[0.2, 0.2, 0, 0, 0, 0, 0]",2.950429916381836E-5,296.5201536814372,Molisoles,-0.0026083486154675484,0.2523536682128906,"{""type"":""Point"",""coordinates"":[-58.50890437999999,-34.71417289000001]}"
1760,06371,6,12/1/2015,General San Martin,Buenos Aires,36837-7237,8.51,8,verano,2015-01-12,"[2015-01-12, 2015-01-13, 2015-01-14, 2015-01-15, 2015-01-16, 2015-01-17, 2015-01-18]",true,1760,-34.56734338,-58.58431125,17.23,"[0, 37.9, 0, 1.5, 0, 6, 0.2]",1.1837482452392578E-4,300.6029879252116,Miscelaneas,-0.005611546337604523,0.3256187438964844,"{""type"":""Point"",""coordinates"":[-58.58431125,-34.56734338]}"
1761,06260,6,15/9/2010,Esteban Echeverria,Buenos Aires,33486-6512,6.94,23,invierno,2010-09-13,"[2010-09-13, 2010-09-14, 2010-09-15, 2010-09-16, 2010-09-17, 2010-09-18, 2010-09-19]",true,1761,-34.88497914,-58.47780994,1.46,"[6.8, 1.7, 0.2, 1, 0, 0, 0]",8.533895015716553E-5,284.6857452392578,Miscelaneas,-0.0010699070990085602,0.45299339294433594,"{""type"":""Point"",""coordinates"":[-58.47780994,-34.884979140000006]}"
1762,06035,6,9/10/2009,Avellaneda,Buenos Aires,35411-6952,1.59,6,primavera,2009-10-05,"[2009-10-05, 2009-10-06, 2009-10-07, 2009-10-08, 2009-10-09, 2009-10-10, 2009-10-11]",true,1762,-34.67500565,-58.31056343,3.38,"[24.1, 0, 0, 0, 0, 32, 23.5]",,,Miscelaneas,,,"{""type"":""Point"",""coordinates"":[-58.31056343,-34.675005649999996]}"
1763,06028,6,25/4/1997,Almirante Brown,Buenos Aires,35405-6949,1.13,28,otoño,1997-04-21,"[1997-04-21, 1997-04-22, 1997-04-23, 1997-04-24, 1997-04-25, 1997-04-26, 1997-04-27]",true,1763,-34.80155807,-58.39146772,0.93,"[0, 0, 0, 11.5, 0, 0, 0.9]",1.9818544387817383E-6,289.06461906433105,Miscelaneas,-0.001507394015789032,0.4061139424641927,"{""type"":""Point"",""coordinates"":[-58.39146772000001,-34.80155807]}"
1764,22098,22,26/12/2012,Mayor Luis J Fontana,Chaco,36729-7190,21.35,85,verano,2012-12-24,"[2012-12-24, 2012-12-25, 2012-12-26, 2012-12-27, 2012-12-28, 2012-12-29, 2012-12-30]",false,1764,-27.68955287,-60.83488783,1.4,"[0, 0, 35.7, 3.4, 0, 0, 0]",3.5762786865234375E-7,306.00922203063965,Alfisoles,-0.00502927228808403,0.17166519165039062,"{""type"":""Point"",""coordinates"":[-60.83488783,-27.689552870000004]}"
1765,22063,22,20/12/1997,General Guemes,Chaco,33840-6431,76.76,130,primavera,1997-12-15,"[1997-12-15, 1997-12-16, 1997-12-17, 1997-12-18, 1997-12-19, 1997-12-20, 1997-12-21]",false,1765,-25.70413822,-61.03150273,0,"[0, 0, 0, 0, 0, 0.1, 0]",7.748603820800781E-7,298.65393956502277,Alfisoles,-0.006264451891183853,0.2817198435465495,"{""type"":""Point"",""coordinates"":[-61.03150273,-25.70413822]}"
1766,22063,22,25/12/1997,General Guemes,Chaco,33840-6431,76.76,130,verano,1997-12-22,"[1997-12-22, 1997-12-23, 1997-12-24, 1997-12-25, 1997-12-26, 1997-12-27, 1997-12-28]",false,1766,-25.70413822,-61.03150273,0,"[1.7, 22.6, 0.2, 0, 0, 0, 8]",2.175569534301758E-6,304.53204409281415,Alfisoles,-0.0018302574753761292,0.14698664347330728,"{""type"":""Point"",""coordinates"":[-61.03150273,-25.70413822]}"
1767,22043,22,27/6/2001,Fray Justo Santa Maria de Oro,Chaco,36727-7188,12.15,74,invierno,2001-06-25,"[2001-06-25, 2001-06-26, 2001-06-27, 2001-06-28, 2001-06-29, 2001-06-30, 2001-07-01]",true,1767,-27.86749866,-61.32540304,3.28,"[1.3, 0, 0, 0, 0, 0, 0.1]",6.25312328338623E-4,283.85478591918945,Molisoles,-0.0012114625424146652,0.3239491780598958,"{""type"":""Point"",""coordinates"":[-61.32540304,-27.867498659999995]}"
1768,86014,86,1/7/1994,Alberdi,Santiago del Estero,6855-2224,89.3,176,invierno,1994-06-27,"[1994-06-27, 1994-06-28, 1994-06-29, 1994-06-30, 1994-07-01, 1994-07-02, 1994-07-03]",false,1768,-26.78946686,-62.70516586,4.17,"[0, 0, 0, 0, 0, 0, 0]",1.341104507446289E-7,285.99304962158203,Entisoles,-0.0010346490889787674,0.17283248901367188,"{""type"":""Point"",""coordinates"":[-62.70516586,-26.789466860000005]}"
1769,74056,74,21/8/1990,La Capital,San Luis,33022-6481,39.54,606,invierno,1990-08-20,"[1990-08-20, 1990-08-21, 1990-08-22, 1990-08-23, 1990-08-24, 1990-08-25, 1990-08-26]",false,1769,-33.36877796,-66.40741813,3.56,"[0, 0, 0, 0, 0, 0, 0.7]",0.0,286.46430079142254,Medano,-5.487781018018723E-4,0.08369191487630208,"{""type"":""Point"",""coordinates"":[-66.40741813,-33.368777959999996]}"
1770,90119,90,21/3/2008,Yerba Buena,Tucuman,33966-6506,13.99,569,verano,2008-03-17,"[2008-03-17, 2008-03-18, 2008-03-19, 2008-03-20, 2008-03-21, 2008-03-22, 2008-03-23]",true,1770,-26.77896396,-65.28532084,4.25,"[0.6, 1.1, 0, 0, 0, 17.1, 3.3]",0.005953267216682434,293.44226773579913,Molisoles,-0.0028910674154758453,0.3807563781738281,"{""type"":""Point"",""coordinates"":[-65.28532084,-26.778963959999995]}"
1771,90105,90,7/8/2011,Tafi Viejo,Tucuman,6759-2167,15.47,1798,invierno,2011-08-01,"[2011-08-01, 2011-08-02, 2011-08-03, 2011-08-04, 2011-08-05, 2011-08-06, 2011-08-07]",false,1771,-26.74196322,-65.56315645,3.47,"[3.7, 0, 0, 0, 0, 0, 0]",8.35120677947998E-4,270.49667421976727,Molisoles,-8.092988282442093E-4,0.3292611440022786,"{""type"":""Point"",""coordinates"":[-65.56315645,-26.74196322]}"
1772,90105,90,11/12/2001,Tafi Viejo,Tucuman,6759-2167,15.47,1798,primavera,2001-12-10,"[2001-12-10, 2001-12-11, 2001-12-12, 2001-12-13, 2001-12-14, 2001-12-15, 2001-12-16]",false,1772,-26.74196322,-65.56315645,3.47,"[0.4, 0.7, 1.8, 15.2, 9.9, 4.9, 2.7]",0.0024196654558181763,287.0369071960449,Molisoles,-0.0044522518292069435,0.3851477305094401,"{""type"":""Point"",""coordinates"":[-65.56315645,-26.74196322]}"
1773,90084,90,27/2/1990,Capital,Tucuman,33966-6506,7.44,453,verano,1990-02-26,"[1990-02-26, 1990-02-27, 1990-02-28, 1990-03-01, 1990-03-02, 1990-03-03, 1990-03-04]",true,1773,-26.82900979,-65.21054418,6.28,"[0.7, 0, 0, 1.1, 6.3, 0, 0]",7.254481315612793E-4,291.4023609161377,Molisoles,-0.002927783876657486,0.4727923075358073,"{""type"":""Point"",""coordinates"":[-65.21054418,-26.829009789999997]}"
1774,02008,2,19/7/2008,Comuna 8,Capital Federal,36837-7237,7.49,21,invierno,2008-07-14,"[2008-07-14, 2008-07-15, 2008-07-16, 2008-07-17, 2008-07-18, 2008-07-19, 2008-07-20]",true,1774,-34.67499358,-58.47616299,1.13,"[0, 0, 0, 0, 0, 0, 0]",6.74128532409668E-5,287.2211577097575,Miscelaneas,-0.0010592024773359299,0.4346777598063151,"{""type"":""Point"",""coordinates"":[-58.47616299,-34.67499358]}"
1775,02007,2,8/2/1996,Comuna 7,Capital Federal,36837-7237,7.04,22,verano,1996-02-05,"[1996-02-05, 1996-02-06, 1996-02-07, 1996-02-08, 1996-02-09, 1996-02-10, 1996-02-11]",true,1775,-34.63680708,-58.45826985,2.25,"[0.6, 0, 0.1, 1.4, 0, 0.1, 0]",9.994208812713623E-5,294.8850784301758,Miscelaneas,-0.004325054585933685,0.27807362874348956,"{""type"":""Point"",""coordinates"":[-58.45826984999999,-34.63680708]}"
1776,02006,2,5/11/1990,Comuna 6,Capital Federal,85-85,5.9,32,primavera,1990-11-05,"[1990-11-05, 1990-11-06, 1990-11-07, 1990-11-08, 1990-11-09, 1990-11-10, 1990-11-11]",true,1776,-34.6168255,-58.44360311,5.01,"[0, 0.1, 0, 0, 0, 1.6, 0.8]",3.52323055267334E-4,287.52988306681317,Miscelaneas,-0.005372895859181881,0.37353070576985675,"{""type"":""Point"",""coordinates"":[-58.44360310999999,-34.6168255]}"
1777,02005,2,24/7/2004,Comuna 5,Capital Federal,85-85,3.75,37,invierno,2004-07-19,"[2004-07-19, 2004-07-20, 2004-07-21, 2004-07-22, 2004-07-23, 2004-07-24, 2004-07-25]",true,1777,-34.60922769,-58.42174523,2.44,"[0, 0.2, 0, 11.3, 14, 1.2, 10.3]",1.7596781253814697E-4,282.9546381632487,Miscelaneas,-0.0010390272364020348,0.31702613830566406,"{""type"":""Point"",""coordinates"":[-58.42174523,-34.609227690000004]}"
1778,02004,2,9/12/2014,Comuna 4,Capital Federal,8891-2706,2.09,10,primavera,2014-12-08,"[2014-12-08, 2014-12-09, 2014-12-10, 2014-12-11, 2014-12-12, 2014-12-13, 2014-12-14]",true,1778,-34.64641355,-58.38427103,1.46,"[0, 0.7, 12.5, 0, 0, 2.5, 0]",7.639527320861816E-4,295.5986550649007,Miscelaneas,-0.004713490605354309,0.3017590840657552,"{""type"":""Point"",""coordinates"":[-58.384271029999994,-34.64641355]}"
1779,02014,2,23/7/2012,Comuna 14,Capital Federal,85-85,2.68,24,invierno,2012-07-23,"[2012-07-23, 2012-07-24, 2012-07-25, 2012-07-26, 2012-07-27, 2012-07-28, 2012-07-29]",true,1779,-34.57389998,-58.42243645,5.28,"[0, 0, 0, 0, 0, 0, 0]",7.499754428863525E-5,283.0485127766927,Miscelaneas,-8.247429504990578E-4,0.2895323435465495,"{""type"":""Point"",""coordinates"":[-58.42243645,-34.57389997999999]}"
1780,02004,2,4/8/2010,Comuna 4,Capital Federal,8891-2706,2.09,10,invierno,2010-08-02,"[2010-08-02, 2010-08-03, 2010-08-04, 2010-08-05, 2010-08-06, 2010-08-07, 2010-08-08]",true,1780,-34.64641355,-58.38427103,1.46,"[0, 0, 0.1, 2.1, 0, 0, 0]",5.657374858856201E-4,277.99069531758624,Miscelaneas,-0.0017786212265491486,0.4086443583170573,"{""type"":""Point"",""coordinates"":[-58.384271029999994,-34.64641355]}"
1781,02001,2,19/7/1993,Comuna 1,Capital Federal,8891-2706,1.05,28,invierno,1993-07-19,"[1993-07-19, 1993-07-20, 1993-07-21, 1993-07-22, 1993-07-23, 1993-07-24, 1993-07-25]",true,1781,-34.62504786,-58.38438723,3.7,"[0, 1.3, 0, 0, 0.9, 0, 0]",0.0012053847312927246,288.6081714630127,Miscelaneas,-8.642124012112617E-4,0.3640289306640625,"{""type"":""Point"",""coordinates"":[-58.38438723000001,-34.62504786000001]}"
1782,02011,2,22/9/2002,Comuna 11,Capital Federal,36837-7237,3.14,29,invierno,2002-09-16,"[2002-09-16, 2002-09-17, 2002-09-18, 2002-09-19, 2002-09-20, 2002-09-21, 2002-09-22]",true,1782,-34.6042463,-58.49067643,2.78,"[2.5, 4.4, 29.6, 11.5, 0, 0, 0.5]",8.370876312255859E-4,285.7973276774089,Miscelaneas,-0.0018876716494560242,0.36671193440755206,"{""type"":""Point"",""coordinates"":[-58.49067643,-34.60424629999999]}"
1783,02012,2,23/4/2002,Comuna 12,Capital Federal,54-54,3.13,20,otoño,2002-04-22,"[2002-04-22, 2002-04-23, 2002-04-24, 2002-04-25, 2002-04-26, 2002-04-27, 2002-04-28]",true,1783,-34.56062514,-58.47494475,0.93,"[10.6, 0.4, 0, 0, 0, 0, 0]",0.0022232085466384888,286.9438756306966,Miscelaneas,-0.0016691340133547783,0.3818651835123698,"{""type"":""Point"",""coordinates"":[-58.474944750000006,-34.560625140000006]}"
1784,02012,2,23/2/2011,Comuna 12,Capital Federal,54-54,3.13,20,verano,2011-02-21,"[2011-02-21, 2011-02-22, 2011-02-23, 2011-02-24, 2011-02-25, 2011-02-26, 2011-02-27]",true,1784,-34.56062514,-58.47494475,0.93,"[0, 0, 16.9, 0.2, 0, 0, 0]",1.223534345626831E-4,296.1498279571533,Miscelaneas,-0.004338562488555908,0.3534406026204427,"{""type"":""Point"",""coordinates"":[-58.474944750000006,-34.560625140000006]}"
1785,02004,2,27/10/1992,Comuna 4,Capital Federal,8891-2706,2.09,10,primavera,1992-10-26,"[1992-10-26, 1992-10-27, 1992-10-28, 1992-10-29, 1992-10-30, 1992-10-31, 1992-11-01]",true,1785,-34.64641355,-58.38427103,1.46,"[0, 22.1, 2.3, 0, 0, 0, 0]",6.186068058013916E-4,293.8509349822998,Miscelaneas,-0.003861909732222557,0.3141778310139974,"{""type"":""Point"",""coordinates"":[-58.384271029999994,-34.64641355]}"
1786,02012,2,12/9/2005,Comuna 12,Capital Federal,54-54,3.13,20,invierno,2005-09-12,"[2005-09-12, 2005-09-13, 2005-09-14, 2005-09-15, 2005-09-16, 2005-09-17, 2005-09-18]",true,1786,-34.56062514,-58.47494475,0.93,"[0, 0, 0, 0, 0, 0, 0]",0.0011195987462997437,281.02002143859863,Miscelaneas,-0.0026680519804358482,0.33353932698567706,"{""type"":""Point"",""coordinates"":[-58.474944750000006,-34.560625140000006]}"
1787,02004,2,6/4/2006,Comuna 4,Capital Federal,8891-2706,2.09,10,otoño,2006-04-03,"[2006-04-03, 2006-04-04, 2006-04-05, 2006-04-06, 2006-04-07, 2006-04-08, 2006-04-09]",true,1787,-34.64641355,-58.38427103,1.46,"[1.6, 9.4, 0, 0, 0, 0.1, 1.2]",2.276599407196045E-4,293.33570353190106,Miscelaneas,-0.0017801662907004356,0.2694651285807292,"{""type"":""Point"",""coordinates"":[-58.384271029999994,-34.64641355]}"
1788,06434,6,21/12/1996,Lanus,Buenos Aires,8891-2706,4.6,5,primavera,1996-12-16,"[1996-12-16, 1996-12-17, 1996-12-18, 1996-12-19, 1996-12-20, 1996-12-21, 1996-12-22]",true,1788,-34.69095715,-58.38386285,4.6,"[4.2, 0, 2.1, 10.6, 0, 5.3, 0]",1.1192262172698975E-4,296.70397249857587,Miscelaneas,-0.002992670051753521,0.2503579457600911,"{""type"":""Point"",""coordinates"":[-58.38386285000001,-34.69095715000001]}"
1789,06638,6,9/5/2013,Pilar,Buenos Aires,42-42,10.41,16,otoño,2013-05-06,"[2013-05-06, 2013-05-07, 2013-05-08, 2013-05-09, 2013-05-10, 2013-05-11, 2013-05-12]",true,1789,-34.42200558,-58.95283788,1.46,"[0, 0, 0, 0, 0, 0.3, 0]",4.231929779052734E-6,288.42885907491046,Molisoles,-0.0018657641485333443,0.44968096415201825,"{""type"":""Point"",""coordinates"":[-58.95283788,-34.42200558]}"
