system:index,Code Departamento,Code Provincia,Date (YMD),Departamento,Provincia,codeRio,distanciaRio,elevacion_m,estacion,fecha0,fechas,hayRioCercano,idx,lat,lon,pendiente_grados,precipitation_sum,runoff_sum,temperature_2m,tipoDeSuelo,total_evaporation_sum,volumetric_soil_water_layer_1,.geo
20,18077,18,21/8/1996,Itati,Corrientes,17-17,41.46,69,invierno,1996-08-19,"[1996-08-19, 1996-08-20, 1996-08-21, 1996-08-22, 1996-08-23, 1996-08-24, 1996-08-25]",false,20,-27.35196615,-57.87393625,1.04,"[0, 1.5, 0.2, 1.4, 0, 0, 2]",4.931837320327759E-4,295.45932642618817,Entisoles,-0.003466285765171051,0.3822593688964844,"{""type"":""Point"",""coordinates"":[-57.87393625,-27.35196615]}"
21,18133,18,3/5/2008,San Cosme,Corrientes,59-59,5.73,52,otoño,2008-04-28,"[2008-04-28, 2008-04-29, 2008-04-30, 2008-05-01, 2008-05-02, 2008-05-03, 2008-05-04]",true,21,-27.36393313,-58.66198243,0.93,"[4, 0.2, 0.2, 3.7, 0, 0, 0]",2.1480023860931396E-4,297.98924763997394,Rio,-0.0021928753703832626,0.3044109344482422,"{""type"":""Point"",""coordinates"":[-58.66198243,-27.363933129999996]}"
22,18049,18,22/8/1998,Esquina,Corrientes,9200-2836,11.96,43,invierno,1998-08-17,"[1998-08-17, 1998-08-18, 1998-08-19, 1998-08-20, 1998-08-21, 1998-08-22, 1998-08-23]",true,22,-30.0784368,-59.4055912,1.42,"[1.1, 0, 0, 0, 0, 4.1, 5.2]",0.0012643635272979736,290.6152038574219,Complejo indiferenci,-9.517865255475044E-4,0.3387285868326823,"{""type"":""Point"",""coordinates"":[-59.405591199999996,-30.0784368]}"
23,18070,18,1/1/1991,Goya,Corrientes,6624-2091,11.86,59,verano,1990-12-31,"[1990-12-31, 1991-01-01, 1991-01-02, 1991-01-03, 1991-01-04, 1991-01-05, 1991-01-06]",true,23,-29.1751244,-58.88982054,2.14,"[0, 3.2, 17.9, 0.9, 0, 0, 0]",8.188635110855103E-4,298.3941249847412,Rio,-0.006397591903805733,0.2709941864013672,"{""type"":""Point"",""coordinates"":[-58.889820540000024,-29.1751244]}"
24,18091,18,23/8/1999,Lavalle,Corrientes,6577-2072,5.81,66,invierno,1999-08-23,"[1999-08-23, 1999-08-24, 1999-08-25, 1999-08-26, 1999-08-27, 1999-08-28, 1999-08-29]",true,24,-28.9356733,-58.8052348,0.93,"[3.6, 1.1, 8, 0, 0, 0, 0]",3.361552953720093E-4,290.5945129394531,Complejo indiferenci,-0.0014090817421674728,0.3598785400390625,"{""type"":""Point"",""coordinates"":[-58.8052348,-28.9356733]}"
25,18021,18,3/7/2003,Capital,Corrientes,6611-2085,6.4,45,invierno,2003-06-30,"[2003-06-30, 2003-07-01, 2003-07-02, 2003-07-03, 2003-07-04, 2003-07-05, 2003-07-06]",true,25,-27.4064,-58.78276,12.77,"[0, 0, 0, 0, 0, 0.9, 0]",7.854998111724854E-4,294.2227776845296,Rio,-0.002279641106724739,0.27823321024576825,"{""type"":""Point"",""coordinates"":[-58.78276,-27.4064]}"
26,82049,82,23/10/1990,General Obligado,Santa Fe,32822-6509,17.99,58,primavera,1990-10-22,"[1990-10-22, 1990-10-23, 1990-10-24, 1990-10-25, 1990-10-26, 1990-10-27, 1990-10-28]",false,26,-28.6765561,-59.7497004,1.41,"[0, 1.3, 1.7, 3, 6.6, 0.7, 18.4]",8.746981620788574E-6,295.5698935190837,Alfisoles,-0.004707875661551952,0.31914647420247394,"{""type"":""Point"",""coordinates"":[-59.7497004,-28.676556099999996]}"
27,82063,82,14/9/2004,La Capital,Santa Fe,103-103,23.73,25,invierno,2004-09-13,"[2004-09-13, 2004-09-14, 2004-09-15, 2004-09-16, 2004-09-17, 2004-09-18, 2004-09-19]",false,27,-31.18858147,-60.62677383,2.15,"[0, 0, 0, 0, 0, 0, 0]",1.1995434761047363E-5,285.28971036275226,Molisoles,-0.0023714248090982437,0.3816064198811849,"{""type"":""Point"",""coordinates"":[-60.62677383,-31.18858147]}"
28,18021,18,12/8/2010,Capital,Corrientes,6611-2085,6.4,45,invierno,2010-08-09,"[2010-08-09, 2010-08-10, 2010-08-11, 2010-08-12, 2010-08-13, 2010-08-14, 2010-08-15]",true,28,-27.4064,-58.78276,12.77,"[0, 0, 0, 0, 0, 0, 0]",0.0015014111995697021,284.74657948811847,Rio,-0.002322303131222725,0.29474639892578125,"{""type"":""Point"",""coordinates"":[-58.78276,-27.4064]}"
29,22014,22,14/8/2014,Bermejo,Chaco,32998-6511,18.89,65,invierno,2014-08-11,"[2014-08-11, 2014-08-12, 2014-08-13, 2014-08-14, 2014-08-15, 2014-08-16, 2014-08-17]",false,29,-26.92175039,-58.77874597,2.28,"[0, 0, 0, 0, 4.8, 0, 0]",4.8607587814331055E-5,292.85682423909503,Rio,-0.002084258943796158,0.4172191619873047,"{""type"":""Point"",""coordinates"":[-58.77874597,-26.92175039]}"
30,30028,30,16/3/2008,Federacion,Entre Rios,1385-1073,7.52,49,verano,2008-03-10,"[2008-03-10, 2008-03-11, 2008-03-12, 2008-03-13, 2008-03-14, 2008-03-15, 2008-03-16]",true,30,-30.70681007,-57.88784914,1.85,"[0, 0, 0, 0, 0, 0, 0]",2.5241076946258545E-4,297.4974835713704,Molisoles,-0.004215676337480545,0.13830057779947916,"{""type"":""Point"",""coordinates"":[-57.88784913999999,-30.70681007]}"
31,30028,30,21/12/2013,Federacion,Entre Rios,1385-1073,7.52,49,primavera,2013-12-16,"[2013-12-16, 2013-12-17, 2013-12-18, 2013-12-19, 2013-12-20, 2013-12-21, 2013-12-22]",true,31,-30.70681007,-57.88784914,1.85,"[0, 0, 0, 0, 0.3, 0, 0]",0.0025257468223571777,302.1259600321452,Molisoles,-0.005867312662303448,0.066131591796875,"{""type"":""Point"",""coordinates"":[-57.88784913999999,-30.70681007]}"
