Nombre,Code Departamento,lat,lon,Provincia
PALPALA,38042,-24.18229866,-65.20774078,JUJUY
AYACUCHO,06042,-37.2159908,-58.6862018,BUENOS AIRES
CAPITAL,86049,-27.80983349,-64.48893926,SANTIAGO DEL ESTERO
SALLIQUELO,06721,-36.56899083,-63.08762296,BUENOS AIRES
FAMATINA,46049,-28.9015462,-67.5409052,LA RIOJA
GENERAL ALVEAR,06287,-36.0095752,-60.2101369,BUENOS AIRES
CHACABUCO,74028,-32.56339762,-65.03153075,SAN LUIS
SAN PEDRO,54112,-26.50855467,-53.92302828,MISIONES
MONTECARLO,54084,-26.75464362,-54.69924477,MISIONES
SAN SALVADOR,30088,-31.59398509,-58.37116015,ENTRE RÍOS
VILLARINO,06875,-39.4323988,-62.9350751,BUENOS AIRES
COLON,06175,-33.97042426,-61.07620535,BUENOS AIRES
ITUZAINGO,18084,-27.71591449,-56.94751639,CORRIENTES
MERCEDES,06532,-34.64501572,-59.35927582,BUENOS AIRES
TAPENAGA,22161,-27.77849579,-59.60456467,CHACO
PRESIDENTE ROQUE SAENZ PEÑA,14084,-33.90469055,-63.83804658,CÓRDOBA
SANTA ROSA,50112,-33.0552929,-68.06689238,MENDOZA
CONCEPCION,54035,-27.88963381,-55.42634391,MISIONES
25 DE MAYO,70126,-31.73063248,-68.34501277,SAN JUAN
BRAGADO,06112,-35.2410531,-60.3474272,BUENOS AIRES
SUSQUES,38084,-23.11491966,-66.25007629,JUJUY
SANAGASTA,46126,-29.16052455,-67.09195563,LA RIOJA
FELICIANO,30042,-30.42934153,-58.76618814,ENTRE RÍOS
TIGRE,06805,-34.3277116,-58.608687,BUENOS AIRES
RÍO CHICO,78049,-47.45429993,-71.84503174,SANTA CRUZ
SANTA VICTORIA,66161,-22.17502,-64.93502,SALTA
GENERAL LOPEZ,82042,-34.17471073,-62.05032677,SANTA FE
ANTÁRTIDA ARGENTINA,94028,-64.15580231,-60.95507405,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR"
CACHI,66014,-25.02048923,-66.0970212,SALTA
PEHUAJO,06609,-35.6179927,-62.0046671,BUENOS AIRES
LA PAZ,50042,-33.55845261,-67.25244904,MENDOZA
VALLE GRANDE,38105,-23.56311433,-64.89713769,JUJUY
TILCARA,38094,-23.77525242,-65.29804781,JUJUY
COMANDANTE FERNANDEZ,22021,-26.9538276,-60.51530921,CHACO
GENERAL RODRIGUEZ,06364,-34.72117406,-59.01160158,BUENOS AIRES
ROSARIO VERA PEÑALOZA,46112,-31.38359642,-66.62695313,LA RIOJA
LAGO ARGENTINO,78028,-50.27098465,-71.8927536,SANTA CRUZ
LIMAY MAHUIDA,42091,-37.55200494,-66.2268539,LA PAMPA
JOSE C PAZ,06412,-34.4804958,-58.8042589,BUENOS AIRES
ALBERDI,86014,-26.78946686,-62.70516586,SANTIAGO DEL ESTERO
TRES ARROYOS,06833,-38.2667152,-60.4002814,BUENOS AIRES
LA VIÑA,66098,-25.62320328,-65.61323547,SALTA
ULLUM,70112,-31.4627522,-68.73605428,SAN JUAN
INDEPENDENCIA,22070,-26.52423694,-60.57193526,CHACO
ROSARIO DE LERMA,66147,-24.14188957,-66.01944733,SALTA
TOTORAL,14168,-30.81785967,-64.21185018,CÓRDOBA
TAPALQUE,06798,-36.475682,-60.1222218,BUENOS AIRES
VICENTE LOPEZ,06861,-34.52591497,-58.53576394,BUENOS AIRES
SAN JUSTO,82112,-30.8130411,-60.3886502,SANTA FE
VALLE VIEJO,10112,-28.56060853,-65.78033709,CATAMARCA
BELLA VISTA,18007,-28.48951707,-59.03412064,CORRIENTES
FLORENTINO AMEGHINO,06277,-34.81670709,-62.44968298,BUENOS AIRES
JUAREZ CELMAN,14056,-33.3160107,-63.2538219,CÓRDOBA
LA POMA,66091,-23.78698349,-66.06783295,SALTA
MORON,06568,-34.6644131,-58.64564271,BUENOS AIRES
